polity_code,polity_name,V1,code,iso3c,FAOSTAT_name,EU27,name,eia,iea,water_code,water_area,baci,fish,region_code,cbs,fabio_code,ADB_Region,region,uISO3c,Lassaletta,region_krausmann,region_HANPP,region_krausmann2,region_UN_sub,region_UN,region_ILO1,region_ILO2,region_ILO3,region_IEA,region_IPCC,region_labour,region_labour_agg,region_labour_mech,region_test,0,0,0,0,0
SCG,Serbia and Montenegro,183,186,SCG,Serbia and Montenegro,FALSE,Serbia and Montenegro,Former Serbia and Montenegro,0,186,Serbia and Montenegro,891,891,9,TRUE,186,NA,OECD Europe,1,Serbia and Montenegro,Western Europe,West Europe,Europe,0,Europe,0,0,0,0,0,Southern Europe,Europe,mech,Europe,#REF!,#REF!,#REF!,#REF!,#REF!
SLE,Sierra Leone,194,197,SLE,Sierra Leone,FALSE,Sierra Leone,Sierra Leone,0,197,Sierra Leone,694,694,6,TRUE,197,NA,Western Africa,1,Sierra Leone,Subsaharan Africa,Sub-saharan Africa,SSA,Sub-Saharan Africa,Africa,Africa,Sub-Saharan Africa,Western Africa,Emerging,Annex_II,Western Africa,SAA,no_mech,Other,#REF!,#REF!,#REF!,#REF!,#REF!
SGP,Singapore,197,200,SGP,Singapore,FALSE,Singapore,Singapore,Singapore,200,Singapore,702,702,15,TRUE,200,NA,South East Asia,1,Singapore,Southeastern Asia,South and Central Asia,S&E Asia,South-eastern Asia,Asia,Asia and the Pacific,South-Eastern Asia and the Pacific,South-Eastern Asia,Emerging,Annex_II,South-eastern Asia,SE-Asia,no_mech,Other,#REF!,#REF!,#REF!,#REF!,#REF!
SVK,Slovakia,196,199,SVK,Slovakia,TRUE,Slovakia,Slovakia,Slovak Republic,199,Slovakia,703,703,10,TRUE,199,SK,Eastern Europe,1,Slovakia,Eastern and South Eastern Europe,East Europe,Europe,Eastern Europe,Europe,Europe and Central Asia,Eastern Europe,Eastern Europe,Advanced,Annex_I,Eastern Europe,Europe,mech,Europe,#REF!,#REF!,#REF!,#REF!,#REF!
SVN,Slovenia,195,198,SVN,Slovenia,TRUE,Slovenia,Slovenia,Slovenia,198,Slovenia,705,705,10,TRUE,198,SI,Eastern Europe,1,Slovenia,Eastern and South Eastern Europe,East Europe,Europe,Southern Europe,Europe,Europe and Central Asia,"Northern, Southern and Western Europe",Southern Europe,Emerging,Annex_II,Southern Europe,Europe,mech,Europe,#REF!,#REF!,#REF!,#REF!,#REF!
SLB,Solomon Islands,25,25,SLB,Solomon Islands,FALSE,Solomon Islands,Solomon Islands,0,25,Solomon Islands,90,90,16,TRUE,25,NA,Oceania,1,Solomon Islands,Australia and Oceania,North America and Oceania,Oceania,Melanesia,Oceania,Asia and the Pacific,South-Eastern Asia and the Pacific,Pacific Islands,Emerging,Annex_II,Pacific,AUS,no_mech,Other,#REF!,#REF!,#REF!,#REF!,#REF!
SOM,Somalia,198,201,SOM,Somalia,FALSE,Somalia,Somalia,0,201,Somalia,706,706,7,TRUE,201,NA,Eastern Africa,1,Somalia,Subsaharan Africa,Sub-saharan Africa,SSA,Sub-Saharan Africa,Africa,Africa,Sub-Saharan Africa,Eastern Africa,Emerging,Annex_II,Eastern Africa,SAA,no_mech,Other,#REF!,#REF!,#REF!,#REF!,#REF!
ZAF,South Africa,199,202,ZAF,South Africa,FALSE,South Africa,South Africa,South Africa,202,South Africa,711,710,8,TRUE,202,NA,Southern Africa,1,South Africa,Subsaharan Africa,Sub-saharan Africa,SSA,Sub-Saharan Africa,Africa,Africa,Sub-Saharan Africa,Southern Africa,Emerging,Annex_II,Southern Africa,SAA,mech,Other,#REF!,#REF!,#REF!,#REF!,#REF!
KOR,Republic of Korea,114,117,KOR,Republic of Korea,FALSE,South Korea,"Korea, South",Korea,117,"Korea, Republic of",410,410,14,TRUE,117,NA,East Asia,1,Republic of Korea,Eastern Asia,East Asia,S&E Asia,Eastern Asia,Asia,Asia and the Pacific,Eastern Asia,Eastern Asia,Advanced,Annex_II,Eastern Asia,SE-Asia,no_mech,Other,#REF!,#REF!,#REF!,#REF!,#REF!
ESP,Spain,200,203,ESP,Spain,TRUE,Spain,Spain,Spain,203,Spain,724,724,9,TRUE,203,ES,OECD Europe,1,Spain,Western Europe,West Europe,Europe,Southern Europe,Europe,Europe and Central Asia,"Northern, Southern and Western Europe",Southern Europe,Advanced,Annex_I,Southern Europe,Europe,mech,Europe,#REF!,#REF!,#REF!,#REF!,#REF!
LKA,Sri Lanka,38,38,LKA,Sri Lanka,FALSE,Sri Lanka,Sri Lanka,Sri Lanka,38,Sri Lanka,144,144,13,TRUE,38,NA,South Asia,1,Sri Lanka,Southern Asia,South and Central Asia,Southern Asia,Southern Asia,Asia,Asia and the Pacific,Southern Asia,Southern Asia,Emerging,Annex_II,Southern Asia,SE-Asia,no_mech,Other,#REF!,#REF!,#REF!,#REF!,#REF!
SDN,Sudan,254,276,SDN,Sudan,FALSE,Sudan,0,0,206,Sudan,729,729,7,TRUE,206,NA,Eastern Africa,0,Sudan,Subsaharan Africa,Sub-saharan Africa,SSA,Northern Africa,Africa,Africa,Northern Africa,Northern Africa,Emerging,Annex_II,Northern Africa,MENA,no_mech,Other,#REF!,#REF!,#REF!,#REF!,#REF!
SSD,South Sudan,255,277,SSD,South Sudan,FALSE,South Sudan,0,South Sudan,206,Sudan,728,728,7,TRUE,206,NA,Eastern Africa,1,South Sudan,Subsaharan Africa,Sub-saharan Africa,SSA,Sub-Saharan Africa,Africa,Africa,Sub-Saharan Africa,Eastern Africa,Emerging,Annex_II,Eastern Africa,SAA,no_mech,Other,#REF!,#REF!,#REF!,#REF!,#REF!
SUR,Suriname,203,207,SUR,Suriname,FALSE,Suriname,Suriname,Suriname,207,Suriname,740,740,4,TRUE,207,NA,South America,1,Suriname,Latin America and the Caribbean,Latin America and Caribbean,LACA,Latin America and the Caribbean,Americas,Americas,Latin America and the Caribbean,South America,Emerging,Annex_II,Andean & Mexico,LACA,no_mech,Other,#REF!,#REF!,#REF!,#REF!,#REF!
SWZ,Eswatini,205,209,SWZ,Eswatini,FALSE,Eswatini,Swaziland,0,209,Swaziland,NA,748,8,TRUE,999,NA,Southern Africa,1,Swaziland,Subsaharan Africa,Sub-saharan Africa,SSA,Sub-Saharan Africa,Africa,Africa,Sub-Saharan Africa,Southern Africa,Emerging,Annex_II,Southern Africa,SAA,mech,Other,#REF!,#REF!,#REF!,#REF!,#REF!
SWE,Sweden,206,210,SWE,Sweden,TRUE,Sweden,Sweden,Sweden,210,Sweden,752,752,9,TRUE,210,SE,OECD Europe,1,Sweden,Western Europe,West Europe,Europe,Northern Europe,Europe,Europe and Central Asia,"Northern, Southern and Western Europe",Northern Europe,Advanced,Annex_I,Northern Europe,Europe,mech,Europe,#REF!,#REF!,#REF!,#REF!,#REF!
CHE,Switzerland,207,211,CHE,Switzerland,FALSE,Switzerland,Switzerland,Switzerland,211,Switzerland,757,756,9,TRUE,211,NA,OECD Europe,1,Switzerland,Western Europe,West Europe,Europe,Western Europe,Europe,Europe and Central Asia,"Northern, Southern and Western Europe",Western Europe,Advanced,Annex_I,Western Europe,Europe,mech,Europe,#REF!,#REF!,#REF!,#REF!,#REF!
SYR,Syria,208,212,SYR,Syrian Arab Republic,FALSE,Syrian Arab Republic,Syria,Syrian Arab Republic,212,Syrian Arab Republic,760,760,12,TRUE,999,NA,Middle East,1,Syrian Arab Republic,Northern Africa and Western Asia,North Africa and West Asia,MENA,Western Asia,Asia,Arab States,Arab States,Arab States,Emerging,Annex_II,Western Asia,MENA,no_mech,Other,#REF!,#REF!,#REF!,#REF!,#REF!
TJK,Tajikistan,204,208,TJK,Tajikistan,FALSE,Tajikistan,Tajikistan,Tajikistan,208,Tajikistan,762,762,11,TRUE,208,NA,Former USSR,1,Tajikistan,Central Asia and Russian Federation,South and Central Asia,CAS & Russia,Central Asia,Asia,Europe and Central Asia,Central and Western Asia,Central Asia,Emerging,Annex_II,FSU,FSU,mech,Other,#REF!,#REF!,#REF!,#REF!,#REF!
TZA,Tanzania,211,215,TZA,United Republic of Tanzania,FALSE,Tanzania,Tanzania,United Republic of Tanzania,215,"Tanzania, United Republic of",834,834,8,TRUE,215,NA,Southern Africa,1,United Republic of Tanzania,Subsaharan Africa,Sub-saharan Africa,SSA,Sub-Saharan Africa,Africa,Africa,Sub-Saharan Africa,Eastern Africa,Emerging,Annex_II,Eastern Africa,SAA,no_mech,Other,#REF!,#REF!,#REF!,#REF!,#REF!
THA,Thailand,212,216,THA,Thailand,FALSE,Thailand,Thailand,Thailand,216,Thailand,764,764,15,TRUE,216,NA,South East Asia,1,Thailand,Southeastern Asia,South and Central Asia,S&E Asia,South-eastern Asia,Asia,Asia and the Pacific,South-Eastern Asia and the Pacific,South-Eastern Asia,Emerging,Annex_II,South-eastern Asia,SE-Asia,no_mech,Other,#REF!,#REF!,#REF!,#REF!,#REF!
TLS,Timor-Leste,173,176,TLS,Timor-Leste,FALSE,Timor-Leste,Timor-Leste (East Timor),0,176,Timor-Leste,626,626,15,TRUE,176,NA,South East Asia,1,Timor-Leste,Southeastern Asia,South and Central Asia,S&E Asia,South-eastern Asia,Asia,Asia and the Pacific,South-Eastern Asia and the Pacific,South-Eastern Asia,Emerging,Annex_II,South-eastern Asia,SE-Asia,no_mech,Other,#REF!,#REF!,#REF!,#REF!,#REF!
TGO,Togo,213,217,TGO,Togo,FALSE,Togo,Togo,Togo,217,Togo,768,768,6,TRUE,217,NA,Western Africa,1,Togo,Subsaharan Africa,Sub-saharan Africa,SSA,Sub-Saharan Africa,Africa,Africa,Sub-Saharan Africa,Western Africa,Emerging,Annex_II,Western Africa,SAA,no_mech,Other,#REF!,#REF!,#REF!,#REF!,#REF!
TTO,Trinidad and Tobago,216,220,TTO,Trinidad and Tobago,FALSE,Trinidad and Tobago,Trinidad and Tobago,Trinidad and Tobago,220,Trinidad and Tobago,780,780,3,TRUE,220,NA,Central America,1,Trinidad and Tobago,Latin America and the Caribbean,Latin America and Caribbean,LACA,Latin America and the Caribbean,Americas,Americas,Latin America and the Caribbean,Caribbean,Emerging,Annex_II,Caribbean & Centra Am.,LACA,no_mech,Other,#REF!,#REF!,#REF!,#REF!,#REF!
TUN,Tunisia,218,222,TUN,Tunisia,FALSE,Tunisia,Tunisia,Tunisia,222,Tunisia,788,788,5,TRUE,222,NA,Northern Africa,1,Tunisia,Northern Africa and Western Asia,North Africa and West Asia,MENA,Northern Africa,Africa,Africa,Northern Africa,Northern Africa,Emerging,Annex_II,Northern Africa,MENA,no_mech,Other,#REF!,#REF!,#REF!,#REF!,#REF!
TUR,Turkey,219,223,TUR,Türkiye,FALSE,Turkey,Turkey,Turkey,223,Turkey,792,792,12,TRUE,223,NA,Middle East,1,Turkey,Northern Africa and Western Asia,North Africa and West Asia,MENA,Western Asia,Asia,Europe and Central Asia,Central and Western Asia,Western Asia,Advanced,Annex_I,Western Asia,MENA,no_mech,Other,#REF!,#REF!,#REF!,#REF!,#REF!
TKM,Turkmenistan,209,213,TKM,Turkmenistan,FALSE,Turkmenistan,Turkmenistan,Turkmenistan,213,Turkmenistan,795,795,11,TRUE,213,NA,Former USSR,1,Turkmenistan,Central Asia and Russian Federation,South and Central Asia,CAS & Russia,Central Asia,Asia,Europe and Central Asia,Central and Western Asia,Central Asia,Emerging,Annex_II,FSU,FSU,mech,Other,#REF!,#REF!,#REF!,#REF!,#REF!
UGA,Uganda,222,226,UGA,Uganda,FALSE,Uganda,Uganda,0,226,Uganda,800,800,7,TRUE,226,NA,Eastern Africa,1,Uganda,Subsaharan Africa,Sub-saharan Africa,SSA,Sub-Saharan Africa,Africa,Africa,Sub-Saharan Africa,Eastern Africa,Emerging,Annex_II,Eastern Africa,SAA,no_mech,Other,#REF!,#REF!,#REF!,#REF!,#REF!
UKR,Ukraine,226,230,UKR,Ukraine,FALSE,Ukraine,Ukraine,Ukraine,230,Ukraine,804,804,11,TRUE,230,NA,Former USSR,1,Ukraine,Eastern and South Eastern Europe,East Europe,Europe,Eastern Europe,Europe,Europe and Central Asia,Eastern Europe,Eastern Europe,Emerging,Annex_I,FSU,FSU,mech,Europe,#REF!,#REF!,#REF!,#REF!,#REF!
ARE,United Arab Emirates,221,225,ARE,United Arab Emirates,FALSE,United Arab Emirates,United Arab Emirates,United Arab Emirates,225,United Arab Emirates,784,784,12,TRUE,225,NA,Middle East,1,United Arab Emirates,Northern Africa and Western Asia,North Africa and West Asia,MENA,Western Asia,Asia,Arab States,Arab States,Arab States,Emerging,Annex_II,Western Asia,MENA,no_mech,Other,#REF!,#REF!,#REF!,#REF!,#REF!
GBR,United Kingdom,225,229,GBR,United Kingdom of Great Britain and Northern Ireland,FALSE,United Kingdom,United Kingdom,United Kingdom,229,United Kingdom,826,826,9,TRUE,229,NA,OECD Europe,1,United Kingdom,Western Europe,West Europe,Europe,Northern Europe,Europe,Europe and Central Asia,"Northern, Southern and Western Europe",Northern Europe,Advanced,Annex_I,Northern Europe,Europe,mech,Europe,#REF!,#REF!,#REF!,#REF!,#REF!
USA,United States of America,227,231,USA,United States of America,FALSE,United States of America,United States,United States,231,United States of America,842,840,2,TRUE,231,NA,USA,1,United States of America,Northern America,North America and Oceania,Northern America,Northern America,Americas,Americas,Northern America,Northern America,Advanced,Annex_I,Northern America,NAME,mech,Other,#REF!,#REF!,#REF!,#REF!,#REF!
URY,Uruguay,230,234,URY,Uruguay,FALSE,Uruguay,Uruguay,Uruguay,234,Uruguay,858,858,4,TRUE,234,NA,South America,1,Uruguay,Latin America and the Caribbean,Latin America and Caribbean,LACA,Latin America and the Caribbean,Americas,Americas,Latin America and the Caribbean,South America,Emerging,Annex_II,South America - South Cone,LACA,mech,Other,#REF!,#REF!,#REF!,#REF!,#REF!
SUN,USSR,224,228,SUN,USSR,FALSE,USSR,Former U.S.S.R.,0,185,Russian Federation,810,810,11,TRUE,228,NA,Former USSR,1,FSU,Central Asia and Russian Federation,South and Central Asia,CAS & Russia,0,Asia,0,0,0,0,0,FSU,FSU,0,Other,#REF!,#REF!,#REF!,#REF!,#REF!
UZB,Uzbekistan,231,235,UZB,Uzbekistan,FALSE,Uzbekistan,Uzbekistan,Uzbekistan,235,Uzbekistan,860,860,11,TRUE,235,NA,Former USSR,1,Uzbekistan,Central Asia and Russian Federation,South and Central Asia,CAS & Russia,Central Asia,Asia,Europe and Central Asia,Central and Western Asia,Central Asia,Emerging,Annex_II,FSU,FSU,mech,Other,#REF!,#REF!,#REF!,#REF!,#REF!
VUT,Vanuatu,152,155,VUT,Vanuatu,FALSE,Vanuatu,Vanuatu,0,155,Vanuatu,548,548,16,TRUE,155,NA,Oceania,1,Vanuatu,Australia and Oceania,North America and Oceania,Oceania,Melanesia,Oceania,Asia and the Pacific,South-Eastern Asia and the Pacific,Pacific Islands,Emerging,Annex_II,Pacific,AUS,no_mech,Other,#REF!,#REF!,#REF!,#REF!,#REF!
VEN,Venezuela,232,236,VEN,Venezuela (Bolivarian Republic of),FALSE,Venezuela,Venezuela,Venezuela,236,"Venezuela, Bolivarian Republic of",862,862,4,TRUE,236,NA,South America,1,Venezuela (Bolivarian Republic of),Latin America and the Caribbean,Latin America and Caribbean,LACA,Latin America and the Caribbean,Americas,Americas,Latin America and the Caribbean,South America,Emerging,Annex_II,Andean & Mexico,LACA,no_mech,Other,#REF!,#REF!,#REF!,#REF!,#REF!
VNM,Viet Nam,233,237,VNM,Viet Nam,FALSE,Viet Nam,Vietnam,Viet Nam,237,Viet Nam,704,704,15,TRUE,237,NA,South East Asia,1,Viet Nam,Southeastern Asia,South and Central Asia,S&E Asia,South-eastern Asia,Asia,Asia and the Pacific,South-Eastern Asia and the Pacific,South-Eastern Asia,Emerging,Annex_II,South-eastern Asia,SE-Asia,no_mech,Other,#REF!,#REF!,#REF!,#REF!,#REF!
YEM,Yemen,241,249,YEM,Yemen,FALSE,Yemen,Yemen,Yemen,249,Yemen,887,887,12,TRUE,249,NA,Middle East,1,Yemen,Northern Africa and Western Asia,North Africa and West Asia,MENA,Western Asia,Asia,Arab States,Arab States,Arab States,Emerging,Annex_II,Western Asia,MENA,no_mech,Other,#REF!,#REF!,#REF!,#REF!,#REF!
YUG,Yugoslav SFR,240,248,YUG,Yugoslav SFR,FALSE,Yugoslav SFR,Former Yugoslavia,0,186,Serbia and Montenegro,891,890,10,TRUE,248,NA,Eastern Europe,1,Yugoslav SFR,Eastern and South Eastern Europe,East Europe,Europe,0,Europe,0,0,0,0,0,Southern Europe,Europe,0,Europe,#REF!,#REF!,#REF!,#REF!,#REF!
ZMB,Zambia,243,251,ZMB,Zambia,FALSE,Zambia,Zambia,Zambia,251,Zambia,894,894,8,TRUE,251,NA,Southern Africa,1,Zambia,Subsaharan Africa,Sub-saharan Africa,SSA,Sub-Saharan Africa,Africa,Africa,Sub-Saharan Africa,Eastern Africa,Emerging,Annex_II,Eastern Africa,SAA,no_mech,Other,#REF!,#REF!,#REF!,#REF!,#REF!
ZWE,Zimbabwe,178,181,ZWE,Zimbabwe,FALSE,Zimbabwe,Zimbabwe,Zimbabwe,181,Zimbabwe,716,716,8,TRUE,181,NA,Southern Africa,1,Zimbabwe,Subsaharan Africa,Sub-saharan Africa,SSA,Sub-Saharan Africa,Africa,Africa,Sub-Saharan Africa,Eastern Africa,Emerging,Annex_II,Eastern Africa,SAA,no_mech,Other,#REF!,#REF!,#REF!,#REF!,#REF!
GUF,French Guiana,69,69,GUF,French Guiana,FALSE,French Guiana,French Guiana,0,69,French Guiana,NA,254,4,FALSE,999,NA,South America,1,French Guiana,Latin America and the Caribbean,Latin America and Caribbean,LACA,Latin America and the Caribbean,Americas,Americas,Latin America and the Caribbean,South America,Emerging,Annex_II,Andean & Mexico,LACA,no_mech,Other,#REF!,#REF!,#REF!,#REF!,#REF!
GNQ,Equatorial Guinea,61,61,GNQ,Equatorial Guinea,FALSE,Equatorial Guinea,Equatorial Guinea,0,61,Equatorial Guinea,226,226,6,FALSE,999,NA,Western Africa,1,Equatorial Guinea,Subsaharan Africa,Sub-saharan Africa,SSA,Sub-Saharan Africa,Africa,Africa,Sub-Saharan Africa,Central Africa,Emerging,Annex_II,Middle Africa,SAA,no_mech,Other,#REF!,#REF!,#REF!,#REF!,#REF!
RAFR,Africa Other,45,45,COM,Comoros,FALSE,Comoros,Comoros,0,45,Comoros,174,174,7,FALSE,999,NA,Eastern Africa,1,Comoros,Subsaharan Africa,Sub-saharan Africa,SSA,Sub-Saharan Africa,Africa,Africa,Sub-Saharan Africa,Eastern Africa,Emerging,Annex_II,Eastern Africa,SAA,no_mech,Other,#REF!,#REF!,#REF!,#REF!,#REF!
RASI,Asia Other,18,18,BTN,Bhutan,FALSE,Bhutan,Bhutan,0,18,Bhutan,64,64,13,FALSE,999,NA,South Asia,1,Bhutan,Southern Asia,South and Central Asia,Southern Asia,Southern Asia,Asia,Asia and the Pacific,Southern Asia,Southern Asia,Emerging,Annex_II,Southern Asia,SE-Asia,no_mech,Other,#REF!,#REF!,#REF!,#REF!,#REF!
REUR,Europe Other,6,6,AND,#N/A,FALSE,Andorra,0,0,999,Global average,20,20,9,FALSE,999,NA,OECD Europe,1,Andorra,Western Europe,West Europe,Europe,Southern Europe,Europe,Europe and Central Asia,"Northern, Southern and Western Europe",Southern Europe,Emerging,Annex_II,Southern Europe,Europe,mech,Europe,#REF!,#REF!,#REF!,#REF!,#REF!
RLAM,Latin America Other,248,258,AIA,#N/A,FALSE,Anguilla,0,0,999,Global average,660,660,3,FALSE,999,NA,Central America,1,Anguilla,Latin America and the Caribbean,Latin America and Caribbean,LACA,Latin America and the Caribbean,Americas,Americas,Latin America and the Caribbean,Caribbean,Emerging,Annex_II,Caribbean & Centra Am.,LACA,no_mech,Other,#REF!,#REF!,#REF!,#REF!,#REF!
RNAM,North America Other,187,190,SPM,#N/A,FALSE,Saint Pierre and Miquelon,Saint Pierre and Miquelon,0,190,Saint Pierre and Miquelon,666,666,2,FALSE,999,NA,USA,1,Saint Pierre and Miquelon,Northern America,North America and Oceania,Northern America,Northern America,Americas,Americas,Northern America,Northern America,Emerging,Annex_II,Northern America,NAME,mech,Other,#REF!,#REF!,#REF!,#REF!,#REF!
ROCE,Oceania Other,5,5,ASM,#N/A,FALSE,American Samoa,American Samoa,0,5,American Samoa,16,16,16,FALSE,999,NA,Oceania,1,American Samoa,Australia and Oceania,North America and Oceania,Oceania,Polynesia,Oceania,Asia and the Pacific,South-Eastern Asia and the Pacific,Pacific Islands,Emerging,Annex_II,Pacific,AUS,no_mech,Other,#REF!,#REF!,#REF!,#REF!,#REF!
